Time_s,depth_mm
15.14163995,7.129545361
15.15071177,7.129235118
15.16199613,7.129205325
15.20636177,7.129652093
15.21551108,7.129282294
15.22472382,7.129801025
15.23584247,7.130096372
15.27927804,7.129644659
15.28864598,7.129853147
15.29785228,7.130079018
15.30731726,7.12911349
15.35376668,7.130180774
15.36296916,7.129897806
15.37209868,7.129433684
15.38394976,7.13007653
15.42900634,7.130222975
15.43803596,7.129825842
15.44718146,7.130136085
15.45727515,7.130391749
15.50287795,7.12974144
15.512182,7.130620078
15.52162385,7.130178286
15.53457284,7.130399182
15.57730055,7.130731785
15.58645844,7.130165878
15.59553218,7.130083964
15.60706735,7.130925376
15.65182495,7.130721834
15.66101789,7.130409103
15.67065263,7.13099734
15.68056703,7.131113992
15.73706388,7.13087823
15.74625921,7.130677176
15.75537944,7.130930352
15.76645899,7.131143784
15.81116343,7.130925376
15.82029414,7.131324967
15.82936931,7.131367168
15.83901429,7.131436674
15.88645673,7.131501204
15.89556098,7.131322509
15.90473652,7.131674954
15.91412115,7.131203369
15.96036983,7.131804014
15.96960044,7.131324967
15.97870111,7.131707204
15.98886967,7.131699771
16.03498054,7.131307613
16.04434896,7.131727075
16.05345058,7.132101849
16.06406331,7.131880953
16.11004972,7.131734509
16.11938381,7.132042294
16.12870932,7.131898337
16.1394856,7.131359735
16.18392754,7.132335154
16.19306755,7.132359971
16.20253158,7.132459269
16.21536088,7.132032343
16.25821662,7.132322745
16.26756525,7.132498982
16.2767868,7.132216014
16.28974795,7.13219866
16.33422637,7.132548616
16.34362984,7.13229544
16.35276771,7.132109282
16.36563873,7.133079756
16.40829778,7.132464214
16.41749358,7.132987921
16.42685366,7.132839018
16.43857527,7.132762049
16.48265648,7.132868781
16.49181795,7.132987921
16.50101161,7.133149261
16.51268315,7.133054939
16.55591512,7.133263426
16.56494761,7.133489297
16.5741632,7.132940774
16.58559465,7.133151749
16.62864494,7.133717626
16.63779688,7.133404895
16.64684606,7.133630767
16.65837502,7.133449584
16.70058322,7.133881455
16.70966911,7.133255993
16.71894169,7.133948473
16.72932172,7.134017949
16.77504969,7.13378962
16.78411603,7.134161906
16.79311705,7.134127168
16.80285788,7.133861583
16.84863329,7.133826845
16.85779071,7.13376729
16.86698604,7.133620846
16.87798405,7.133970802
16.92175317,7.133685376
16.93080473,7.134308351
16.93999457,7.134415082
16.94940114,7.134161906
16.99604535,7.134454795
17.00550461,7.134159448
17.01455998,7.134583856
17.02786922,7.134531734
17.07056427,7.134070071
17.07955003,7.134489533
17.08872962,7.135025648
17.10066557,7.134102351
17.1455853,7.134747685
17.15464187,7.134462228
17.16382694,7.134856874
17.1740098,7.135149763
17.22075033,7.134874258
17.22981334,7.134931355
17.23888111,7.134045254
17.25041771,7.134576423
17.29414892,7.135390531
17.30366898,7.134573935
17.31272364,7.13475263
17.32342625,7.135303641
17.3674345,7.135323513
17.37664056,7.135080257
17.38582778,7.135000831
17.3979032,7.135144788
17.44186568,7.1351423
17.45104957,7.135628781
17.46049476,7.135239111
17.47148895,7.135603963
17.51530409,7.135482336
17.52432299,7.135956408
17.53349805,7.135070337
17.54454827,7.135929103
17.58841681,7.135894365
17.59761214,7.136125182
17.60680437,7.13577025
17.61858106,7.135926645
17.66275978,7.136011017
17.67197871,7.136100365
17.68101764,7.136502473
17.6944313,7.136117749
17.74769044,7.135872036
17.75695539,7.136117749
17.76610017,7.136298931
17.77770853,7.136189712
17.82062387,7.135673469
17.82974839,7.136048243
17.83891797,7.13600853
17.85010576,7.136552107
17.89419413,7.136380846
17.90336537,7.135936566
17.91267872,7.136616638
17.921942,7.136447864
